,images,label
0,PetImages\Cat\1567.jpg,00
1,PetImages\Dog\2967.jpg,11
2,PetImages\Dog\931.jpg,11
3,PetImages\Dog\4856.jpg,11
4,PetImages\Cat\370.jpg,00
5,PetImages\Dog\3898.jpg,11
6,PetImages\Dog\3929.jpg,11
7,PetImages\Cat\223.jpg,00
8,PetImages\Cat\3440.jpg,00
9,PetImages\Cat\2236.jpg,00
10,PetImages\Cat\2268.jpg,00
11,PetImages\Cat\3311.jpg,00
12,PetImages\Cat\118.jpg,00
13,PetImages\Cat\1053.jpg,00
14,PetImages\Cat\260.jpg,00
15,PetImages\Cat\1883.jpg,00
16,PetImages\Cat\4586.jpg,00
17,PetImages\Dog\2543.jpg,11
18,PetImages\Dog\2159.jpg,11
19,PetImages\Cat\2566.jpg,00
20,PetImages\Cat\3687.jpg,00
21,PetImages\Cat\4840.jpg,00
22,PetImages\Cat\1300.jpg,00
23,PetImages\Cat\54.jpg,00
24,PetImages\Cat\1774.jpg,00
25,PetImages\Cat\2008.jpg,00
26,PetImages\Dog\1119.jpg,11
27,PetImages\Cat\1986.jpg,00
28,PetImages\Cat\3302.jpg,00
29,PetImages\Dog\4943.jpg,11
30,PetImages\Cat\4075.jpg,00
31,PetImages\Cat\3580.jpg,00
32,PetImages\Dog\2367.jpg,11
33,PetImages\Cat\1044.jpg,00
34,PetImages\Dog\1678.jpg,11
35,PetImages\Dog\3564.jpg,11
36,PetImages\Dog\1040.jpg,11
37,PetImages\Dog\2063.jpg,11
38,PetImages\Dog\3531.jpg,11
39,PetImages\Dog\717.jpg,11
40,PetImages\Dog\269.jpg,11
41,PetImages\Dog\3958.jpg,11
42,PetImages\Dog\1066.jpg,11
43,PetImages\Dog\4256.jpg,11
44,PetImages\Cat\4496.jpg,00
45,PetImages\Cat\4602.jpg,00
46,PetImages\Cat\4930.jpg,00
47,PetImages\Cat\3327.jpg,00
48,PetImages\Dog\1682.jpg,11
49,PetImages\Dog\4983.jpg,11
50,PetImages\Cat\2569.jpg,00
51,PetImages\Cat\3787.jpg,00
52,PetImages\Cat\2724.jpg,00
53,PetImages\Dog\3330.jpg,11
54,PetImages\Cat\1791.jpg,00
55,PetImages\Cat\560.jpg,00
56,PetImages\Dog\487.jpg,11
57,PetImages\Dog\1643.jpg,11
58,PetImages\Dog\638.jpg,11
59,PetImages\Cat\2931.jpg,00
60,PetImages\Dog\1979.jpg,11
61,PetImages\Cat\302.jpg,00
62,PetImages\Dog\1719.jpg,11
63,PetImages\Dog\4976.jpg,11
64,PetImages\Cat\176.jpg,00
65,PetImages\Cat\4344.jpg,00
66,PetImages\Cat\881.jpg,00
67,PetImages\Cat\1397.jpg,00
68,PetImages\Dog\472.jpg,11
69,PetImages\Cat\2688.jpg,00
70,PetImages\Dog\1258.jpg,11
71,PetImages\Cat\480.jpg,00
72,PetImages\Dog\2042.jpg,11
73,PetImages\Cat\3047.jpg,00
74,PetImages\Dog\3107.jpg,11
75,PetImages\Dog\3228.jpg,11
76,PetImages\Dog\3058.jpg,11
77,PetImages\Dog\32.jpg,11
78,PetImages\Dog\1072.jpg,11
79,PetImages\Dog\3678.jpg,11
80,PetImages\Dog\4631.jpg,11
81,PetImages\Cat\1658.jpg,00
82,PetImages\Cat\3305.jpg,00
83,PetImages\Cat\730.jpg,00
84,PetImages\Dog\4522.jpg,11
85,PetImages\Dog\1676.jpg,11
86,PetImages\Cat\1805.jpg,00
87,PetImages\Dog\2601.jpg,11
88,PetImages\Dog\4137.jpg,11
89,PetImages\Cat\4903.jpg,00
90,PetImages\Cat\4292.jpg,00
91,PetImages\Dog\4681.jpg,11
92,PetImages\Cat\3418.jpg,00
93,PetImages\Cat\1074.jpg,00
94,PetImages\Cat\32.jpg,00
95,PetImages\Dog\1509.jpg,11
96,PetImages\Dog\3323.jpg,11
97,PetImages\Cat\2211.jpg,00
98,PetImages\Cat\3423.jpg,00
99,PetImages\Cat\886.jpg,00
100,PetImages\Dog\2344.jpg,11
101,PetImages\Dog\1213.jpg,11
102,PetImages\Dog\578.jpg,11
103,PetImages\Dog\4654.jpg,11
104,PetImages\Dog\1169.jpg,11
105,PetImages\Cat\3443.jpg,00
106,PetImages\Cat\4901.jpg,00
107,PetImages\Dog\3050.jpg,11
108,PetImages\Dog\289.jpg,11
109,PetImages\Dog\4049.jpg,11
110,PetImages\Dog\681.jpg,11
111,PetImages\Dog\597.jpg,11
112,PetImages\Cat\1699.jpg,00
113,PetImages\Dog\812.jpg,11
114,PetImages\Cat\3653.jpg,00
115,PetImages\Cat\4680.jpg,00
116,PetImages\Dog\2667.jpg,11
117,PetImages\Cat\389.jpg,00
118,PetImages\Cat\4012.jpg,00
119,PetImages\Cat\4836.jpg,00
120,PetImages\Dog\764.jpg,11
121,PetImages\Dog\1998.jpg,11
122,PetImages\Dog\518.jpg,11
123,PetImages\Dog\4084.jpg,11
124,PetImages\Cat\2560.jpg,00
125,PetImages\Cat\945.jpg,00
126,PetImages\Cat\1127.jpg,00
127,PetImages\Dog\3404.jpg,11
128,PetImages\Dog\3725.jpg,11
129,PetImages\Cat\3684.jpg,00
130,PetImages\Cat\2651.jpg,00
131,PetImages\Cat\2180.jpg,00
132,PetImages\Cat\3204.jpg,00
133,PetImages\Dog\1238.jpg,11
134,PetImages\Cat\124.jpg,00
135,PetImages\Dog\4915.jpg,11
136,PetImages\Cat\3850.jpg,00
137,PetImages\Cat\1055.jpg,00
138,PetImages\Dog\547.jpg,11
139,PetImages\Dog\4977.jpg,11
140,PetImages\Dog\2563.jpg,11
141,PetImages\Cat\2831.jpg,00
142,PetImages\Dog\1917.jpg,11
143,PetImages\Dog\3921.jpg,11
144,PetImages\Dog\4836.jpg,11
145,PetImages\Cat\4799.jpg,00
146,PetImages\Dog\1094.jpg,11
147,PetImages\Dog\4490.jpg,11
148,PetImages\Cat\4.jpg,00
149,PetImages\Cat\865.jpg,00
150,PetImages\Dog\2504.jpg,11
151,PetImages\Cat\4183.jpg,00
152,PetImages\Dog\2884.jpg,11
153,PetImages\Cat\1585.jpg,00
154,PetImages\Cat\210.jpg,00
155,PetImages\Dog\2155.jpg,11
156,PetImages\Dog\893.jpg,11
157,PetImages\Cat\3906.jpg,00
158,PetImages\Cat\4855.jpg,00
159,PetImages\Cat\755.jpg,00
160,PetImages\Cat\1974.jpg,00
